preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5499999999999998 0
preflopvar, postflopvar, scaryoffset 0.4 0.49999999999999983 0
preflopvar, postflopvar, scaryoffset 0.4 0.44999999999999984 0
preflopvar, postflopvar, scaryoffset 0.4 0.49999999999999983 0
preflopvar, postflopvar, scaryoffset 0.4 0.5499999999999998 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5499999999999998 0
preflopvar, postflopvar, scaryoffset 0.4 0.49999999999999983 0
preflopvar, postflopvar, scaryoffset 0.4 0.44999999999999984 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.6000000000000001 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.6000000000000001 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.4 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.45 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.6000000000000001 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.5 0
preflopvar, postflopvar, scaryoffset 0.4 0.55 0
preflopvar, postflopvar, scaryoffset 0.4 0.6000000000000001 0
preflopvar, postflopvar, scaryoffset 0.45 0.6000000000000001 0
preflopvar, postflopvar, scaryoffset 0.45 0.6500000000000001 0
preflopvar, postflopvar, scaryoffset 0.45 0.7000000000000002 0
preflopvar, postflopvar, scaryoffset 0.4 0.7000000000000002 0
preflopvar, postflopvar, scaryoffset 0.4 0.6500000000000001 0
preflopvar, postflopvar, scaryoffset 0.4 0.6500000000000001 0
preflopvar, postflopvar, scaryoffset 0.4 0.6000000000000001 0
preflopvar, postflopvar, scaryoffset 0.4 0.6500000000000001 0
preflopvar, postflopvar, scaryoffset 0.4 0.7000000000000002 0
preflopvar, postflopvar, scaryoffset 0.4 0.7500000000000002 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.8 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5499999999999998 0
preflopvar, postflopvar, scaryoffset 0.4 0.49999999999999983 0
preflopvar, postflopvar, scaryoffset 0.4 0.5499999999999998 0
preflopvar, postflopvar, scaryoffset 0.4 0.49999999999999983 0
preflopvar, postflopvar, scaryoffset 0.4 0.44999999999999984 0
preflopvar, postflopvar, scaryoffset 0.4 0.49999999999999983 0
preflopvar, postflopvar, scaryoffset 0.4 0.5499999999999998 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.5499999999999998 0
preflopvar, postflopvar, scaryoffset 0.4 0.5999999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.75 0
preflopvar, postflopvar, scaryoffset 0.4 0.7 0
preflopvar, postflopvar, scaryoffset 0.4 0.6499999999999999 0
